number,company_id
2 22540XXX,3
2 22541XXX,3
2 22542XXX,3
2 22543XXX,3
2 22544XXX,3
2 22545XXX,3
2 22546XXX,3
2 22547XXX,3
2 22548XXX,3
2 22549XXX,3
2 22550XXX,3
2 22551XXX,3
2 22552XXX,3
2 22553XXX,3
2 22554XXX,3
2 22555XXX,3
2 22556XXX,3
2 22557XXX,3
2 22558XXX,3
2 22559XXX,3
2 22560XXX,3
2 22561XXX,3
2 22562XXX,3
2 22563XXX,3
2 22564XXX,3
2 22565XXX,3
2 22566XXX,3
2 22567XXX,3
2 22568XXX,3
2 22569XXX,3
2 22570XXX,3
2 22571XXX,3
2 22572XXX,3
2 22573XXX,3
2 22574XXX,3
2 22575XXX,3
2 22576XXX,3
2 22577XXX,3
2 22578XXX,3
2 22579XXX,3
2 22580XXX,3
2 22581XXX,3
2 22582XXX,3
2 22583XXX,3
2 22584XXX,3
2 22585XXX,3
2 22586XXX,3
2 22587XXX,3
2 22588XXX,3
2 22589XXX,3
2 22590XXX,3
2 22591XXX,3
2 22592XXX,3
2 22593XXX,3
2 22594XXX,3
2 22595XXX,3
2 22596XXX,3
2 22597XXX,3
2 22598XXX,3
2 22599XXX,3
2 22600XXX,1
2 22601XXX,1
2 22602XXX,1
2 22603XXX,1
2 22604XXX,1
2 22605XXX,1
2 22606XXX,1
2 22607XXX,1
2 22608XXX,1
2 22609XXX,1
2 22610XXX,1
2 22611XXX,1
2 22612XXX,1
2 22613XXX,1
2 22614XXX,1
2 22615XXX,1
2 22616XXX,1
2 22617XXX,1
2 22618XXX,1
2 22619XXX,1
2 22620XXX,1
2 22621XXX,1
2 22622XXX,1
2 22623XXX,1
2 22624XXX,1
2 22625XXX,1
2 22626XXX,1
2 22627XXX,1
2 22628XXX,1
2 22629XXX,1
2 22630XXX,1
2 22631XXX,1
2 22632XXX,1
2 22633XXX,1
2 22634XXX,1
2 22635XXX,1
2 22636XXX,1
2 22637XXX,1
2 22638XXX,1
2 22639XXX,1
2 22640XXX,1
2 22641XXX,1
2 22642XXX,1
2 22643XXX,1
2 22644XXX,1
2 22645XXX,1
2 22646XXX,1
2 22647XXX,1
2 22648XXX,1
2 22649XXX,1
2 22650XXX,1
2 22651XXX,1
2 22652XXX,1
2 22653XXX,1
2 22654XXX,1
2 22655XXX,1
2 22656XXX,1
2 22657XXX,1
2 22658XXX,1
2 22659XXX,1
2 22660XXX,1
2 22661XXX,1
2 22662XXX,1
2 22663XXX,1
2 22664XXX,1
2 22665XXX,1
2 22666XXX,1
2 22667XXX,1
2 22668XXX,1
2 22669XXX,1
2 22670XXX,1
2 22671XXX,1
2 22672XXX,1
2 22673XXX,1
2 22674XXX,1
2 22675XXX,1
2 22676XXX,1
2 22677XXX,1
2 22678XXX,1
